"nct_id","umc_pi","umc_sponsor","umc_resp_party","umc","is_fda_regulated_drug","is_fda_regulated_device","is_unapproved_device","is_ppsd","is_us_export","is_randomized","is_blinded","is_multicentric","is_multinational","primary_sponsor","phase","planned_enrolment","actual_enrolment","completion_date","nlm_download_date_description","study_first_submitted_date","results_first_submitted_date","disposition_first_submitted_date","last_update_submitted_date","study_first_submitted_qc_date","study_first_posted_date","study_first_posted_date_type","results_first_submitted_qc_date","results_first_posted_date","results_first_posted_date_type","disposition_first_submitted_qc_date","disposition_first_posted_date","disposition_first_posted_date_type","last_update_submitted_qc_date","last_updated","last_update_posted_date_type","start_month_year","start_date_type","start_date","verification_month_year","verification_date","completion_month_year","completion_date_type","primary_completion_month_year","primary_completion_date_type","primary_completion_date","target_duration","study_type","acronym","baseline_population","brief_title","official_title","status","last_known_status","enrollment","enrollment_type","source","limitations_and_caveats","number_of_arms","number_of_groups","why_stopped","has_expanded_access","expanded_access_type_individual","expanded_access_type_intermediate","expanded_access_type_treatment","has_dmc","biospec_retention","biospec_description","ipd_time_frame","ipd_access_criteria","ipd_url","plan_to_share_ipd","plan_to_share_ipd_description","created_at","updated_at","source_class","delayed_posting","expanded_access_nctid","expanded_access_status_for_nctid","fdaaa801_violation","baseline_type_units_analyzed","patient_registry","countries","results_reporting"
"NCT06535880",,"Hamburg",,"Hamburg",FALSE,FALSE,,,FALSE,,FALSE,FALSE,FALSE,"Non-commercial",,40,,"2027-12-31",,"2024-07-30",,,"2024-09-16","2024-07-30","2024-08-02","ACTUAL",,,,,,,"2024-09-16","2024-09-19","ACTUAL","2024-08-01","ACTUAL","2024-08-01","2024-09","2024-09-30","2027-12-31","ESTIMATED","2026-12-31","ESTIMATED","2026-12-31",,"INTERVENTIONAL",,,"Trigeminal Brainstem Mapping 2: Higher Cortical Strucureas As Well As Subnuclei of the Spinal Trigeminal Nucleus","Brainstem Mapping of Nociceptive and Non-nociceptive Trigeminal Input and Its Functional Connectivty","RECRUITING",,40,"ESTIMATED","Universitätsklinikum Hamburg-Eppendorf",,1,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 22:19:49","2025/05/12 22:19:49","OTHER",,,,,,,"Germany",FALSE
"NCT04681430","Düsseldorf",,,"Düsseldorf",FALSE,FALSE,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial","II",,22,"2021-10-29",,"2020-12-17",,,"2022-02-09","2020-12-22","2020-12-23","ACTUAL",,,,,,,"2022-02-09","2022-02-10","ACTUAL","2021-01-08","ACTUAL","2021-01-08","2022-02","2022-02-28","2021-10-29","ACTUAL","2021-10-29","ACTUAL","2021-10-29",,"INTERVENTIONAL","RES-Q-HR",,"Reconvalescent Plasma/Camostat Mesylate Early in SARS-CoV-2 Q-PCR (COVID-19) Positive High-risk Individuals","Reconvalescent Plasma / Camostat Mesylate Early in Sars-CoV-2 Q-PCR (COVID-19) Positive High-risk Individuals","COMPLETED",,22,"ACTUAL","Heinrich-Heine University, Duesseldorf",,4,,,FALSE,,,,TRUE,,,,,,"NO",,"2025/05/11 17:45:26","2025/05/11 17:45:26","OTHER",,,,,,,"Germany",FALSE
"NCT00279604",,"Bonn",,"Bonn",,,,,,TRUE,FALSE,TRUE,FALSE,"Non-commercial",,,,"2007-10-31",,"2006-01-18",,,"2007-04-19","2006-01-18","2006-01-19","ESTIMATED",,,,,,,"2007-04-19","2007-04-20","ESTIMATED","2005-07",,"2005-07-31","2007-04","2007-04-30","2007-10","ESTIMATED",,,,,"INTERVENTIONAL",,,"INCA - Intervention and Neuropsychology in Cannabis Abuse","Targeted Interventions in Cannabis Abuse: Focus on Decision Making (INCA)","UNKNOWN","RECRUITING",160,,"University Hospital, Bonn",,,,,FALSE,,,,,,,,,,,,"2025/05/12 16:12:21","2025/05/12 16:12:21","OTHER",,,,,,,"Germany",FALSE
"NCT02919943","Charite","Charite","Charite","Charite",,,,,,,,FALSE,FALSE,"Non-commercial",,,50,"2016-09-30",,"2016-09-27",,,"2017-05-14","2016-09-28","2016-09-30","ESTIMATED",,,,,,,"2017-05-14","2017-05-16","ACTUAL","2016-07",,"2016-07-31","2017-05","2017-05-31","2016-09","ACTUAL","2016-09","ACTUAL","2016-09-30",,"OBSERVATIONAL",,,"Observational Study of Angiographic Coregistered Optical Coherence Tomography in Patients Undergoing PCI","Impact of Angiographic Coregistered Optical Coherence Tomography-diagnostics on Physicians Decision-making During Percutaneous Coronary Intervention in Patients With Advanced Coronary Artery Disease - the OPTICO-Integration-Trial","COMPLETED",,50,"ACTUAL","Charite University, Berlin, Germany",,,,,FALSE,,,,FALSE,,,,,,"UNDECIDED",,"2025/05/11 17:47:23","2025/05/11 17:47:23","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT03208400","Würzburg",,,"Würzburg",FALSE,FALSE,,,,,FALSE,TRUE,FALSE,"Non-commercial",,,338,"2020-02-10",,"2017-06-28",,,"2020-02-10","2017-06-30","2017-07-05","ACTUAL",,,,,,,"2020-02-10","2020-02-11","ACTUAL","2017-09-01","ACTUAL","2017-09-01","2020-02","2020-02-29","2020-02-10","ACTUAL","2019-05-31","ACTUAL","2019-05-31",,"INTERVENTIONAL",,,"Virtual Reality Exposure in Spider Phobia","Exposure Treatment in Anxiety Disorders: Proof of Principle for an a Priori Response Prediction Approach","COMPLETED",,338,"ACTUAL","Julius-Maximilians University",,1,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/11 17:47:23","2025/05/11 17:47:23","OTHER",,,,,,,"Germany",FALSE
"NCT04894968",,"Leipzig",,"Leipzig",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,800,,"2022-11-30",,"2021-05-17",,,"2022-03-16","2021-05-17","2021-05-20","ACTUAL",,,,,,,"2022-03-16","2022-03-17","ACTUAL","2018-12-01","ACTUAL","2018-12-01","2022-03","2022-03-31","2022-11","ESTIMATED","2022-05","ESTIMATED","2022-05-31",,"OBSERVATIONAL","PREDICT-HFpEF",,"Prediction of the Development of Heart Failure With Preserved Ejection Fraction","Identifying Predictors for the Development and Uphold of Heart Failure With Preserved Ejection Fraction","UNKNOWN","RECRUITING",800,"ESTIMATED","Heart Center Leipzig - University Hospital",,,,,FALSE,,,,FALSE,,,,,,"UNDECIDED",,"2025/05/12 22:19:49","2025/05/12 22:19:49","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT03238378",,"Erlangen","Erlangen","Erlangen",FALSE,FALSE,,,,,FALSE,FALSE,FALSE,"Non-commercial",,96,,"2027-12-31",,"2017-07-31",,,"2018-06-06","2017-07-31","2017-08-03","ACTUAL",,,,,,,"2018-06-06","2018-06-08","ACTUAL","2017-03-29","ACTUAL","2017-03-29","2018-06","2018-06-30","2027-12-31","ESTIMATED","2022-12-31","ESTIMATED","2022-12-31",,"INTERVENTIONAL","HyBT-H&N",,"Salvage Brachytherapy and Hyperthermia for Recurrent H&N-tumours","SALVAGE BRACHYTHERAPY WITH INTERSTITIAL HYPERTHERMIA FOR LOCALLY RECURRENT HEAD & NECK CARCINOMA FOLLOWING PREVIOUSLY EXTERNAL BEAM RADIATION THERAPY: A PROSPECTIVE PHASE II STUDY","RECRUITING",,96,"ESTIMATED","University of Erlangen-Nürnberg Medical School",,1,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 22:19:49","2025/05/12 22:19:49","OTHER",,,,,,,"Germany",FALSE
"NCT00196274","München_TU","München_TU",,"München_TU",,,,,,,,TRUE,FALSE,"Non-commercial",,,,,,"2005-09-13",,,"2018-03-09","2005-09-13","2005-09-20","ESTIMATED",,,,,,,"2018-03-09","2018-03-12","ACTUAL","2000-05",,"2000-05-31","2005-09","2005-09-30",,,,,,,"OBSERVATIONAL",,,"Autonomic Regulation Trial (ART)","Autonomic Regulation Trial (ART)","COMPLETED",,1000,,"Deutsches Herzzentrum Muenchen",,,,,FALSE,,,,,,,,,,,,"2025/05/11 17:47:23","2025/05/11 17:47:23","OTHER",,,,,,,"Germany",FALSE
"NCT02779595",,"Würzburg",,"Würzburg",,,,,,,,FALSE,FALSE,"Non-commercial",,,31,"2017-08-31",,"2016-05-17",,,"2017-11-02","2016-05-17","2016-05-20","ESTIMATED",,,,,,,"2017-11-02","2017-11-06","ACTUAL","2016-06","ACTUAL","2016-06-30","2017-11","2017-11-30","2017-08","ACTUAL","2017-06","ACTUAL","2017-06-30",,"OBSERVATIONAL",,,"Change of Regional Ventilation During Spontaneous Breathing After Lung Surgery","Change of Regional Ventilation During Spontaneous Breathing After Lung Surgery","COMPLETED",,31,"ACTUAL","Wuerzburg University Hospital",,,2,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/11 17:47:23","2025/05/11 17:47:23","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT05790642",,"Greifswald",,"Greifswald",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,225,,"2024-09-01",,"2023-03-17",,,"2023-05-08","2023-03-17","2023-03-30","ACTUAL",,,,,,,"2023-05-08","2023-05-10","ACTUAL","2023-05-10","ESTIMATED","2023-05-10","2023-05","2023-05-31","2024-09-01","ESTIMATED","2023-09-01","ESTIMATED","2023-09-01",,"OBSERVATIONAL","MULTI-PWA",,"Comparison of Different Non-invasive Methods to Assess Pulse Wave Analysis","Vergleich Verschiedener Nicht-invasiver Verfahren Zur Pulswellenanalyse","UNKNOWN","RECRUITING",225,"ESTIMATED","University Medicine Greifswald",,,5,,FALSE,,,,TRUE,,,,,,"NO",,"2025/05/12 16:12:21","2025/05/12 16:12:21","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT05635500",,"Charite","Charite","Charite",FALSE,FALSE,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial",,,184,"2023-05-26",,"2021-07-22",,,"2024-02-11","2022-11-30","2022-12-02","ACTUAL",,,,,,,"2024-02-11","2024-02-13","ACTUAL","2021-08-01","ACTUAL","2021-08-01","2024-02","2024-02-29","2023-05-26","ACTUAL","2023-05-25","ACTUAL","2023-05-25",,"INTERVENTIONAL","Midway",,"Clinical Comparison Between Midline and Right-sided Insertion of the Videolaryngoscope for Endotracheal Intubation","Clinical Comparison Between Midline and Right-sided Insertion of the Videolaryngoscope for Intubation - a Randomized, Controlled, Prospective Clinical Trial","COMPLETED",,184,"ACTUAL","Charite University, Berlin, Germany",,2,,,FALSE,,,,TRUE,,,,,,"NO",,"2025/05/12 16:12:21","2025/05/12 16:12:21","OTHER",,,,,,,"Germany",FALSE
"NCT03497637","Leipzig",,,"Leipzig",FALSE,FALSE,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial",,1054,,"2026-11-01",,"2018-04-06",,,"2024-11-22","2018-04-12","2018-04-13","ACTUAL",,,,,,,"2024-11-22","2024-11-25","ACTUAL","2020-10-23","ACTUAL","2020-10-23","2024-11","2024-11-30","2026-11-01","ESTIMATED","2026-05-01","ESTIMATED","2026-05-01",,"INTERVENTIONAL","LIPSIASTRATEGY",,"Comparison of Vessel-FFR Versus FFR in Intermediate Coronary Stenoses","Comparison of Non-Invasive Vessel Fractional Flow Reserve Calculated From Angiographic Images Versus Fractional Flow Reserve in Patients With Intermediate Coronary Artery Stenoses","RECRUITING",,1054,"ESTIMATED","Helios Health Institute GmbH",,2,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 22:19:49","2025/05/12 22:19:49","OTHER",,,,,,,"Germany",FALSE
"NCT04687332",,"Mainz","Mainz","Mainz",,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,"Non-commercial",,,32,"2019-12-01",,"2020-12-05",,,"2021-02-14","2020-12-22","2020-12-29","ACTUAL",,,,,,,"2021-02-14","2021-02-17","ACTUAL","2016-06-01","ACTUAL","2016-06-01","2021-02","2021-02-28","2019-12-01","ACTUAL","2019-09-15","ACTUAL","2019-09-15",,"INTERVENTIONAL",,,"IA or PE - What is the Best Treatment Option of Steroid Refractory Neurological Autoimmune Diseases","Immunoadsorption or Plasma Exchange - What is the Best Treatment Option of Steroid Refractory Neurological Autoimmune Diseases","COMPLETED",,32,"ACTUAL","University Medical Center Mainz",,2,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 02:37:40","2025/05/12 02:37:40","OTHER",,,,,,,"Germany",FALSE
"NCT03001960",,"Charite","Charite","Charite",,,,,,TRUE,TRUE,,,"Non-commercial","III",200,,"2018-04-30",,"2016-12-18",,,"2016-12-27","2016-12-20","2016-12-23","ESTIMATED",,,,,,,"2016-12-27","2016-12-28","ESTIMATED","2017-03",,"2017-03-31","2016-12","2016-12-31","2018-04","ESTIMATED","2018-03","ESTIMATED","2018-03-31",,"INTERVENTIONAL","DAPT-TAVI",,"Dual AntiPlatelet Therapies for Prevention of Periinterventional Embolic Events in TAVI","Dual AntiPlatelet Therapies for Prevention of Periinterventional Embolic Events in Transcatheter Aortic Valve Implantation (TAVI)","UNKNOWN","NOT_YET_RECRUITING",200,"ESTIMATED","Charite University, Berlin, Germany",,2,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 02:37:40","2025/05/12 02:37:40","OTHER",,,,,,,,FALSE
"NCT03707106",,"Tübingen","Tübingen","Tübingen",FALSE,FALSE,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial",,,246,"2021-07-02",,"2018-04-05",,,"2023-12-04","2018-10-12","2018-10-16","ACTUAL",,,,,,,"2023-12-04","2023-12-05","ACTUAL","2017-01","ACTUAL","2017-01-31","2023-12","2023-12-31","2021-07-02","ACTUAL","2021-07-02","ACTUAL","2021-07-02",,"INTERVENTIONAL","ViReTa",,"Benefits of a Cognitive Behavioral Therapy Intervention for Smoking Cessation Supported by Virtual Reality Smoking Cue Exposure","An Efficacy Study Using an Established Cognitive Behavioral Therapy Manual for Smoking Cessation Comparing the Benefit of Virtual Reality Cue Exposure to a Specific Stress Reduction Protocol for Relapse Prevention","COMPLETED",,246,"ACTUAL","University Hospital Tuebingen",,2,,,FALSE,,,,TRUE,,,,,,,,"2025/05/12 08:25:06","2025/05/12 08:25:06","OTHER",,,,,,,"Germany",FALSE
"NCT05167682",,,"Köln","Köln",FALSE,FALSE,,,,,,FALSE,FALSE,"Non-commercial",,,26,"2024-03-31",,"2021-07-22",,,"2024-06-14","2021-12-09","2021-12-22","ACTUAL",,,,,,,"2024-06-14","2024-06-17","ACTUAL","2021-07-01","ACTUAL","2021-07-01","2024-06","2024-06-30","2024-03-31","ACTUAL","2024-03-20","ACTUAL","2024-03-20",,"OBSERVATIONAL","PAPRIKA",,"Patient Empowerment for Major Surgery Preparation @ Home","Patient Empowerment for Major Surgery Preparation @ Home","COMPLETED",,26,"ACTUAL","University of Cologne",,,2,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 02:37:40","2025/05/12 02:37:40","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT02470026",,"Charite","Charite","Charite",,,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial",,,131,"2018-10-31",,"2015-05-31",,,"2019-05-21","2015-06-09","2015-06-12","ESTIMATED",,,,,,,"2019-05-21","2019-05-23","ACTUAL","2014-06",,"2014-06-30","2019-05","2019-05-31","2018-10","ACTUAL","2017-11","ACTUAL","2017-11-30",,"INTERVENTIONAL","YohCog",,"Noradrenergic Activity, Cognition and Major Depressive Disorder","Influences on Noradrenergic Activity for Cognition in Patients With Major Depressive Disorder","COMPLETED",,131,"ACTUAL","Charite University, Berlin, Germany",,2,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 02:37:40","2025/05/12 02:37:40","OTHER",,,,,,,"Germany",FALSE
"NCT04140812",,"Erlangen",,"Erlangen",FALSE,FALSE,,,,FALSE,FALSE,FALSE,FALSE,"Non-commercial",,50,,"2020-09-30",,"2019-10-21",,,"2019-10-23","2019-10-23","2019-10-28","ACTUAL",,,,,,,"2019-10-23","2019-10-28","ACTUAL","2019-10-21","ACTUAL","2019-10-21","2019-10","2019-10-31","2020-09-30","ESTIMATED","2020-09-30","ESTIMATED","2020-09-30",,"INTERVENTIONAL","NEW_STRATEGI",,"Stratifying Risk for Intracerebral Haemorrhage","STRATifying Risk for intracErebral haemorrhaGe and Neurodevelopmental DIsorders in Newborns","UNKNOWN","RECRUITING",50,"ESTIMATED","University of Erlangen-Nürnberg Medical School",,2,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 16:14:35","2025/05/12 16:14:35","OTHER",,,,,,,"Germany",FALSE
"NCT03241043","Hamburg","Hamburg",,"Hamburg",,,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial","III",,20,"2019-04-30",,"2016-09-12",,,"2021-05-03","2017-08-02","2017-08-07","ACTUAL",,,,,,,"2021-05-03","2021-05-04","ACTUAL","2016-05",,"2016-05-31","2021-05","2021-05-31","2019-04","ACTUAL","2019-04","ACTUAL","2019-04-30",,"INTERVENTIONAL",,,"Study to Evaluate Pharmacokinetic and Bioavailability of Envarsus® vs. Advagraf® in Liver Transplant Recipients","Single Center, Open-label, Randomized, Controlled, Cross Over Study to Evaluate the Pharmacokinetic and Bioavailability of Envarsus® in Comparison to Advagraf® in de Novo Liver Transplant Recipients","COMPLETED",,20,"ACTUAL","Universitätsklinikum Hamburg-Eppendorf",,2,,,FALSE,,,,FALSE,,,,,,,,"2025/05/11 17:49:25","2025/05/11 17:49:25","OTHER",,,,,,,"Germany",FALSE
"NCT04823806",,"Bonn","Bonn","Bonn",FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial",,80,,"2024-12-01",,"2021-03-24",,,"2022-11-09","2021-03-28","2021-04-01","ACTUAL",,,,,,,"2022-11-09","2022-11-10","ACTUAL","2020-12-01","ACTUAL","2020-12-01","2022-11","2022-11-30","2024-12-01","ESTIMATED","2022-06-01","ACTUAL","2022-06-01",,"INTERVENTIONAL",,,"An Exploratory Clinical Study on Autophagy and Multi-level Molecular Profiling During Spermidine Supplementation","Autophagy Characterization and Multi-level Molecular Profiling of Spermidine Supplementation: a Clinical Study","UNKNOWN","ACTIVE_NOT_RECRUITING",80,"ESTIMATED","University Hospital, Bonn",,2,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/12 16:14:35","2025/05/12 16:14:35","OTHER",,,,,,,"Germany",FALSE
"NCT00204659",,"Tübingen",,"Tübingen",,,,,,FALSE,FALSE,TRUE,FALSE,"Non-commercial","II",,30,"2008-09-30",,"2005-09-14",,,"2008-10-17","2005-09-14","2005-09-20","ESTIMATED",,,,,,,"2008-10-17","2008-10-20","ESTIMATED","2003-03",,"2003-03-31","2008-09","2008-09-30","2008-09","ACTUAL","2008-09","ACTUAL","2008-09-30",,"INTERVENTIONAL",,,"Phase II Study With Rituximab and Cyclophosphamide, Doxorubicin, Vincristine, Prednisone (CHOP) in Patients With Gastric Diffuse Large B-Cell Non-Hodgkin's Lymphoma","Phase II Study With Rituximab and CHOP in Patients With Gastric Diffuse Large B-Cell Non-Hodgkin's Lymphoma","COMPLETED",,30,"ACTUAL","University Hospital Tuebingen",,,,,FALSE,,,,FALSE,,,,,,,,"2025/05/11 17:49:25","2025/05/11 17:49:25","OTHER",,,,,,,"Germany",FALSE
"NCT05620030","Erlangen","Erlangen",,"Erlangen",FALSE,FALSE,,,,,FALSE,FALSE,FALSE,"Non-commercial",,30,,"2041-05-20",,"2022-09-21",,,"2022-11-10","2022-11-10","2022-11-17","ACTUAL",,,,,,,"2022-11-10","2022-11-17","ACTUAL","2021-05-20","ACTUAL","2021-05-20","2022-09","2022-09-30","2041-05-20","ESTIMATED","2031-05-20","ESTIMATED","2031-05-20",,"INTERVENTIONAL",,,"Prospective Evaluation of Univentricular Hearts","Evaluation of the Standard Data Collected as Part of the Erlangen Protocol for the Treatment and Monitoring of Patients With Univentricular Heart Defects in Terms of the Fontan Procedure","RECRUITING",,30,"ESTIMATED","University of Erlangen-Nürnberg Medical School",,1,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/11 17:49:25","2025/05/11 17:49:25","OTHER",,,,,,,"Germany",FALSE
"NCT04188639","Hannover",,,"Hannover",FALSE,FALSE,,,,,FALSE,TRUE,TRUE,"Non-commercial","II",,47,"2023-01-04",,"2019-12-04",,,"2023-01-06","2019-12-05","2019-12-06","ACTUAL",,,,,,,"2023-01-06","2023-01-09","ACTUAL","2021-03-23","ACTUAL","2021-03-23","2023-01","2023-01-31","2023-01-04","ACTUAL","2023-01-04","ACTUAL","2023-01-04",,"INTERVENTIONAL",,,"Emicizumab in Acquired Hemophilia A","Emicizumab in Patients With Acquired Hemophilia A: Multicenter, Single-arm, Open-label Clinical Trial","COMPLETED",,47,"ACTUAL","GWT-TUD GmbH",,1,,,FALSE,,,,TRUE,,,,,,"NO",,"2025/05/12 08:25:06","2025/05/12 08:25:06","OTHER",,,,,,,"Austria;Germany",FALSE
"NCT05293288",,"Hamburg","Hamburg","Hamburg",FALSE,FALSE,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial",,,110,"2023-08-16",,"2022-03-03",,,"2023-11-17","2022-03-23","2022-03-24","ACTUAL",,,,,,,"2023-11-17","2023-11-18","ACTUAL","2022-02-15","ACTUAL","2022-02-15","2023-11","2023-11-30","2023-08-16","ACTUAL","2023-03-02","ACTUAL","2023-03-02",,"INTERVENTIONAL",,,"Effect of EEG-guided General Anesthesia on Cumulative Dose of Norepinephrine","EEG-guided General Anesthesia vs. Routine Care and Cumulative Dose of Norepinephrine in Patients Having Vascular Surgery: a Pilot Randomized Trial","COMPLETED",,110,"ACTUAL","Universitätsklinikum Hamburg-Eppendorf",,2,,,FALSE,,,,FALSE,,,,,,"NO",,"2025/05/11 17:49:25","2025/05/11 17:49:25","OTHER",,,,,,,"Germany",FALSE
"NCT00623415",,"Charite","Charite","Charite",,,,,,TRUE,TRUE,TRUE,FALSE,"Non-commercial","II",,30,"2012-11-30",,"2008-02-15",,,"2018-03-19","2008-02-15","2008-02-26","ESTIMATED",,,,,,,"2018-03-19","2018-03-20","ACTUAL","2007-12",,"2007-12-31","2017-12","2017-12-31","2012-11","ACTUAL","2012-11","ACTUAL","2012-11-30",,"INTERVENTIONAL","FLORIMS",,"Flupirtine as Oral Treatment in Multiple Sclerosis","Multicentric, Prospective, Double Blind, Randomized/Stratified, Placebo-controlled Pilot-study for Evaluation of Safety and Efficacy of Flupirtine add-on to Interferon-β1b on Neurodegeneration in Patients With Relapsing Remitting Multiple Sclerosis","TERMINATED",,30,"ACTUAL","Charite University, Berlin, Germany",,2,,,FALSE,,,,TRUE,,,,,,,,"2025/05/11 17:49:25","2025/05/11 17:49:25","OTHER",,,,,,,"Germany",FALSE
"NCT02104882",,"Mannheim","Mannheim","Mannheim",,,,,,,FALSE,FALSE,FALSE,"Non-commercial","I-II",,12,"2016-09-30",,"2014-03-26",,,"2016-10-14","2014-03-31","2014-04-07","ESTIMATED",,,,,,,"2016-10-14","2016-10-17","ESTIMATED","2014-03",,"2014-03-31","2016-10","2016-10-31","2016-09","ACTUAL","2016-09","ACTUAL","2016-09-30",,"INTERVENTIONAL",,,"INTRAGO-Intraoperative Radiotherapy for Glioblastoma - a Phase I/II Study","INTRAGO-Intraoperative Radiotherapy for Glioblastoma - a Phase I/II Study","COMPLETED",,12,"ACTUAL","Universitätsmedizin Mannheim",,1,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 16:14:35","2025/05/12 16:14:35","OTHER",,,,,,,"Germany",FALSE
"NCT05471882",,"Ulm","Ulm","Ulm",FALSE,FALSE,,,,,,TRUE,FALSE,"Non-commercial",,240000,,"2024-04-01",,"2022-07-20",,,"2022-07-20","2022-07-20","2022-07-25","ACTUAL",,,,,,,"2022-07-20","2022-07-25","ACTUAL","2022-11-01","ESTIMATED","2022-11-01","2022-07","2022-07-31","2024-04-01","ESTIMATED","2024-02-01","ESTIMATED","2024-02-01",,"OBSERVATIONAL","PINES",,"Predicting Neuromuscular Recovery in Surgical Patients Using Machine Learning","Development and Validation of a Machine Learning Algorithm for Prediction of Complete Neuromuscular Recovery in Adult Surgical Patients","UNKNOWN","NOT_YET_RECRUITING",240000,"ESTIMATED","University Hospital Ulm",,,3,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 08:25:06","2025/05/12 08:25:06","OTHER",,,,,,FALSE,"Germany",FALSE
"NCT00163267","Tübingen","Tübingen",,"Tübingen",,,,,,TRUE,TRUE,FALSE,FALSE,"Non-commercial","II-III",,80,"2011-04-30",,"2005-09-08",,,"2011-08-05","2005-09-12","2005-09-13","ESTIMATED",,,,,,,"2011-08-05","2011-08-09","ESTIMATED","2005-09",,"2005-09-30","2007-04","2007-04-30","2011-04","ACTUAL","2009-12","ACTUAL","2009-12-31",,"INTERVENTIONAL",,,"Mirror Trial - Follow-Up Management of Peripheral Arterial Intervention With Clopidogrel","Follow-up Management of Peripheral Arterial Intervention With Clopidogrel MIRROR-Study","COMPLETED",,80,"ACTUAL","University Hospital Tuebingen",,2,,,FALSE,,,,,,,,,,,,"2025/05/12 02:39:41","2025/05/12 02:39:41","OTHER",,,,,,,"Germany",FALSE
"NCT03989713","Heidelberg",,"Heidelberg","Heidelberg",FALSE,FALSE,,,,TRUE,FALSE,FALSE,FALSE,"Non-commercial","II",,11,"2022-09-11",,"2019-04-12",,,"2022-09-12","2019-06-14","2019-06-18","ACTUAL",,,,,,,"2022-09-12","2022-09-15","ACTUAL","2020-07-17","ACTUAL","2020-07-17","2022-09","2022-09-30","2022-09-11","ACTUAL","2022-09-11","ACTUAL","2022-09-11",,"INTERVENTIONAL","Q-HAM",,"Quizartinib and High-dose Ara-C Plus Mitoxantrone in Relapsed/Refractory AML With FLT3-ITD","Quizartinib and High-dose Ara-C Plus Mitoxantrone in Relapsed/Refractory AML With FLT3-ITD","TERMINATED",,11,"ACTUAL","University Hospital Heidelberg",,2,,"Study turned out no longer feasible",FALSE,,,,TRUE,,,,,,,,"2025/05/11 17:49:25","2025/05/11 17:49:25","OTHER",,,,,,,"Germany",FALSE
"NCT01232088",,"Charite","Charite","Charite",,,,,,,,FALSE,FALSE,"Non-commercial",,,482,"2011-09-30",,"2010-11-01",,,"2015-10-30","2010-11-01","2010-11-02","ESTIMATED",,,,,,,"2015-10-30","2015-11-01","ESTIMATED","2010-11",,"2010-11-30","2015-10","2015-10-31","2011-09","ACTUAL","2011-06","ACTUAL","2011-06-30",,"OBSERVATIONAL",,,"Questionnaire of the Section Perioperative Intensive Care of the European Society of Intensive Care Medicine (ESICM) on Standardized Drug Labelling","Questionnaire of the Section Perioperative Intensive Care of the European Society of Intensive Care Medicine (ESICM) on Standardized Drug Labelling","COMPLETED",,482,"ACTUAL","Charite University, Berlin, Germany",,,1,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 16:14:35","2025/05/12 16:14:35","OTHER",,,,,,,"Germany",FALSE
"NCT02040324","Hamburg","Hamburg","Hamburg","Hamburg",,,,,,TRUE,FALSE,,,"Non-commercial",,,100,"2012-03-31",,"2014-01-15",,,"2014-01-16","2014-01-16","2014-01-20","ESTIMATED",,,,,,,"2014-01-16","2014-01-20","ESTIMATED","2009-11",,"2009-11-30","2014-01","2014-01-31","2012-03","ACTUAL","2011-03","ACTUAL","2011-03-31",,"INTERVENTIONAL",,,"Laryngeal Mask Airway in Lower Abdominal Surgery","Comparison of Lung Function in Patients After Lower Abdominal Surgery Exceeding 2hrs Under the Use of Laryngeal Mask vs. Endotracheal Tube for Airway Management","COMPLETED",,100,"ACTUAL","Universitätsklinikum Hamburg-Eppendorf",,2,,,FALSE,,,,FALSE,,,,,,,,"2025/05/12 22:21:36","2025/05/12 22:21:36","OTHER",,,,,,,,FALSE
